David \"Tank\" Abbott
Hiroyuki Abe
Papy Abedi
Cyril Abidi
Daniel Acácio
Bernard Ackah
Akihiko Adachi
Sam Adkins
Peter Aerts
Katsuhisa Akasaki 
Omari Akhmedov
Jin Akimoto
Yoshihiro Akiyama
Mostapha AlTurk
Tony Alanis
John Albert
Ildemar Alcantara
Yuri Alcantara
José Aldo
John Alessio
Houston Alexander
Cosmo Alexandre
Olaf Alfonso
Royce Alger
Sultan Aliev
Ben Alloway
Ricardo Almeida
Thomas Almeida
Eddie Alvarez
Sean Alvarez
Thiago Alves
Warlley Alves
Sam Alvey
Andre Amade
Adlan Amagov
Raul Amaya
Jimmy Ambriz 
J.J. Ambrose 
Makwan Amirkhani 
Karl Amoussou 
Bertrand Amoussou  
Corey Anderson 
Derek Anderson 
Alex Andrade 
Viscardi Andrade 
Dylan Andrews 
Giorgio Andrews 
Reese Andy 
Yoji Anjo 
Kelly Anundson 
Shinya Aoki 
Erik Apple 
Felipe Arantes 
Andrei Arlovski 
Ricardo Arona 
Chalid Arrab 
Matt Arroyo 
Josh Appelt 
Noboru Asahi 
Ben Askren 
Junior Assunção 
Raphael Assunção 
Leandro Ataides 
Bazigit Atajev 
Rich Attonito 
Olivier AubinMercier 
Fernando Augusto
Marcus Aurélio 
Blas Avena 
David Avellan 
Saad Awad 
Javy Ayala 
Luiz Azeredo 
Yoichi \"Wakashoyo Shunichi\" Babaguchi 
Niklas Bäckström 
Seth Baczynski 
Ryan Bader 
Ali Bagautinov 
Siyar Bahadurzada 
Shamar Bailey 
Bryan Baker 
Antonio Banuelos 
Renan Barão 
Bryan Barberena 
Edson Barboza 
Luke Barnatt 
Josh Barnett 
David Baron 
Phil Baroni 
Carlos Barreto 
Jason Barrett 
Francimar Barroso 
Pat Barry 
Duane Bastress 
Chris Beal 
Rudy Bears 
Johnny Bedford 
Carson Beebe 
Chase Beebe 
Lyle Beerbohm 
Mirsad Bektic 
Alan Belcher 
Vitor Belfort 
Joey Beltran 
Joseph Benavidez 
Brandon Bender 
Dave Beneteau 
Eddy Bengtsson 
Charles \"Krazy Horse\" Bennett 
Lance Benoist 
Ryan Benoit 
Steve Berger 
Bret Bergmark 
Dennis Bermudez 
Mike Bernardo
Keith Berry 
Matt Bessette 
Alexandre Bezerra 
Rony Mariano Bezerra 
David Bielkheden 
Scott \"Bam Bam\" Bigelow
Jonas Billstein 
Michael Bisping 
Tariel Bitsadze 
Todd Bjornethun 
Jan Blachowicz 
Jason Black 
Brad Blackburn 
Maximo Blanco 
Dan Bobish 
Mark Bocek 
Tim Boetsch 
Jerry Bohlander 
Kotetsu Boku 
Tony Bonello
Stephan Bonnar 
Ray Borg 
Marcus Bossett 
Ryan Bow World 
Brian Bowles 
Roger Bowling 
Kyle Bradley 
Paul Bradley 
Ebenezer Fontes Braga 
David Branch 
Diego Brandao 
Chris Brennan 
Charlie Brenneman 
Jason Brilz 
Marcus Brimage 
Antwain Britt 
Jorge Britto
Mike Bronzoulis 
Jonathan Brookins 
Will Brooks 
Rob Broughton 
Matt Brown 
Mike Brown 
Travis Browne 
Junie Browning 
Justin Bruckmann 
Steve Bruno 
Derek Brunson 
Justin Buchholz 
Zak Bucia 
Courtney Buck 
Mike Budnik 
Paul Buentello 
Shawn Bunch 
Josh Burkman 
Mikey Burnett 
Gilbert Burns 
Kevin Burns 
NahShon Burrell 
Murilo Bustamante 
Jason Butcher 
Jake Butler 
Raphael Butler 
Alex Caceres 
Darrion Caldwell 
Fabrício Camões 
Chris Camozzi 
Shane Campbell 
Derek Campos 
Will Campuzano 
Chico Camus 
Luiz Cané 
Jose Canseco 
Steve Cantwell 
Frank Caraballo 
Bryan Caraway 
Phil Cardella 
Chris Cariaso 
Steve Carl 
Antônio Carlos Júnior 
Simon Carlsen
Francis Carmont 
Roan Carneiro 
Tim Carpenter 
Shonie Carter 
Antonio Carvalho 
Shane Carwin 
Johnny Case 
Kevin Casey 
Bendy Casimir 
Danny Castillo 
Gil Castillo 
Raul Castillo 
Tim Catalfo 
Nick Catone 
Luke Caudillo 
Gesias Cavalcante 
Rafael Cavalcante 
Magnus Cedenblad 
Yosdenis Cedeno 
Henry Cejudo 
Donald Cerrone 
Jason Chambers 
Michael Chandler 
Ernest Chavez 
Rick Cheek 
Michael Chiesa 
Sako Chivitchian 
Doo Ho Choi 
Hong Man Choi 
Mu Bae Choi 
John Cholish 
Ryo Chonan 
Dan Christison 
Branko Cikatic 
LaVerne Clark 
Logan Clark 
Mitch Clarke 
Rich Clementi 
Chris Clements 
Dakota Cochrane 
Devin Cole 
Cortez Coleman 
Mark \"The Hammer\" Coleman 
Vuyisile Colossa 
Carlos Condit 
Alex Cook 
T. J. Cook 
Bill Cooper 
Brett Cooper 
Dewey Cooper 
Chris Cope 
Kit Cope 
Akira Corassani 
Mike Corey 
Daniel Cormier 
Wesley Correira 
Patrick Côté 
Randy \"The Natural\" Couture 
Ryan Couture 
Colby Covington 
Nathan Coy 
Andrew Craig 
Dan Cramer 
Alberto Crane 
Tim Credeur 
Paul Creighton 
Daron Cruickshank 
Richard Crunkilton 
Dominick Cruz 
Marcio Cruz 
Abel Cullum 
Zak Cummings 
Patrick Cummins 
Luke Cummo 
João Cunha
Jeff Curran 
Pat Curran 
Genair da Silva 
Jussier da Silva 
Paul Daley 
Rodrigo Damm 
Raymond Daniels 
Alexandre Dantas 
Eduardo Dantas 
Mac Danzig 
Karen Darabedyan 
Beneil Dariush 
Viacheslav Datsik 
Chris Davis 
LC Davis 
Marcus Davis 
Phil Davis 
Raphael Davis 
Jason Day 
Phil De Fries 
Omar de la Cruz 
Mike De La Torre 
Johil de Oliveira 
Shane del Rosario 
Herb Dean 
Tom DeBlass 
Ramon Dekkers 
Rolando Delgado 
Roland Delorme 
Jason DeLucia 
Nick Denis 
Thomas Denny 
Jason Dent 
Tony DeSouza 
Cory Devela 
Edwin Dewees 
Cyrille Diabaté 
Ousmane Thomas Diagne 
Hacran Dias 
Rafael Dias 
Nate Diaz 
