@RELATION fighters

@ATTRIBUTE  0_weight       			REAL
@ATTRIBUTE  0_weight_class    		{ flyweight, bantamweight, featherweight, lightweight, welterweight, middleweight, light heavyweight, heavyweight, super heavyweight }
@ATTRIBUTE  0_age    				REAL
@ATTRIBUTE  0_height   				REAL
@ATTRIBUTE  0_wins_total  			REAL
@ATTRIBUTE  0_wins_KO 				REAL
@ATTRIBUTE  0_wins_TO 				REAL
@ATTRIBUTE  0_wins_decision 		REAL
@ATTRIBUTE  0_wins_other 			REAL
@ATTRIBUTE  0_loses_total  			REAL
@ATTRIBUTE  0_loses_KO 				REAL
@ATTRIBUTE  0_loses_TO 				REAL
@ATTRIBUTE  0_loses_decision 		REAL
@ATTRIBUTE  0_loses_other 			REAL
@ATTRIBUTE  0_strikes_attempted 	REAL
@ATTRIBUTE  0_strikes_successful	REAL
@ATTRIBUTE  0_strikes_standing		REAL
@ATTRIBUTE  0_strikes_clinch		REAL
@ATTRIBUTE  0_strike_sground		REAL
@ATTRIBUTE  0_takedowns_attempted 	REAL
@ATTRIBUTE  0_takedowns_successful	REAL
@ATTRIBUTE  0_takedowns_submissions	REAL
@ATTRIBUTE  0_takedowns_passes		REAL
@ATTRIBUTE  0_takedowns_sweeps		REAL
@ATTRIBUTE  1_weight       			REAL
@ATTRIBUTE  1_weight_class    		{ flyweight, bantamweight, featherweight, lightweight, welterweight, middleweight, light heavyweight, heavyweight, super heavyweight }
@ATTRIBUTE  1_age    				REAL
@ATTRIBUTE  1_height   				REAL
@ATTRIBUTE  1_wins_total  			REAL
@ATTRIBUTE  1_wins_KO 				REAL
@ATTRIBUTE  1_wins_TO 				REAL
@ATTRIBUTE  1_wins_decision 		REAL
@ATTRIBUTE  1_wins_other 			REAL
@ATTRIBUTE  1_loses_total  			REAL
@ATTRIBUTE  1_loses_KO 				REAL
@ATTRIBUTE  1_loses_TO 				REAL
@ATTRIBUTE  1_loses_decision 		REAL
@ATTRIBUTE  1_loses_other 			REAL
@ATTRIBUTE  1_strikes_attempted 	REAL
@ATTRIBUTE  1_strikes_successful	REAL
@ATTRIBUTE  1_strikes_standing		REAL
@ATTRIBUTE  1_strikes_clinch		REAL
@ATTRIBUTE  1_strikes_ground		REAL
@ATTRIBUTE  1_takedowns_attempted 	REAL
@ATTRIBUTE  1_takedowns_successful	REAL
@ATTRIBUTE  1_takedowns_submissions	REAL
@ATTRIBUTE  1_takedowns_passes		REAL
@ATTRIBUTE  1_takedowns_sweeps		REAL
@ATTRIBUTE  outcome					{ 0, 1 }

@DATA

185,middleweight,28,180,8,6,0,2,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,155,lightweight,34,183,16,3,6,7,0,8,3,1,4,0,0,0,0,0,0,0,0,0,0,0,1
185,middleweight,28,180,8,6,0,2,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,169,welterweight,37,180,16,5,8,3,0,14,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
185,middleweight,28,180,8,6,0,2,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,170,welterweight,26,175,13,8,5,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
205,light heavyweight,32,193,18,6,4,8,0,6,3,2,1,0,290,132,80,52,?,1,0,0,0,0,204,light heavyweight,34,183,22,4,12,6,0,8,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1
205,light heavyweight,32,193,18,6,4,8,0,6,3,2,1,0,290,132,80,52,?,1,0,0,0,0,185,middleweight,34,188,16,10,3,3,0,9,2,6,0,0,471,242,138,34,70,29,11,1,9,0,1
205,light heavyweight,32,193,18,6,4,8,0,6,3,2,1,0,290,132,80,52,?,1,0,0,0,0,205,middleweight,34,186,17,12,2,3,0,12,4,1,7,0,1572,583,353,187,43,27,5,0,4,1,1
205,light heavyweight,32,193,18,6,4,8,0,6,3,2,1,0,290,132,80,52,?,1,0,0,0,0,265,heavyweight,36,193,10,6,3,1,0,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
205,light heavyweight,32,193,18,6,4,8,0,6,3,2,1,0,290,132,80,52,?,1,0,0,0,0,205,light heavyweight,35,186,12,11,1,0,0,7,4,0,2,0,186,83,56,16,11,1,0,0,0,0,1
205,light heavyweight,32,193,18,6,4,8,0,6,3,2,1,0,290,132,80,52,?,1,0,0,0,0,185,light heavyweight,34,191,14,11,2,1,0,6,4,1,1,0,675,280,183,21,76,9,2,0,11,3,1
170,welterweight,41,183,12,6,1,5,0,5,3,0,2,0,867,457,165,184,108,92,32,4,12,0,155,lightweight,35,177,28,7,10,11,0,12,1,7,4,0,990,440,272,114,54,80,30,4,9,1,1
170,welterweight,41,183,12,6,1,5,0,5,3,0,2,0,867,457,165,184,108,92,32,4,12,0,170,welterweight,35,172,17,8,1,8,0,7,0,1,6,0,1111,472,221,147,104,87,37,3,12,0,1
170,welterweight,41,183,12,6,1,5,0,5,3,0,2,0,867,457,165,184,108,92,32,4,12,0,170,welterweight,32,177,15,4,9,2,0,4,1,0,3,0,561,299,172,61,66,30,8,5,12,1,0
